ID,Level,Domain,Context,Scenario,Task,Evidence,Success_Criteria,Extension,Safety
FSC-001,Nursery,Know the Ingredient,School Garden,Your class is exploring a school garden. The teacher shows safe pictures or clean examples. Complete a simple know the ingredient challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-002,Nursery,Build a Food Journey,Classroom Food Table,Your class is exploring a classroom food table. The teacher shows safe pictures or clean examples. Complete a simple build a food journey challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-003,Nursery,Make a Food Choice,Harvest Basket,Your class is exploring a harvest basket. The teacher shows safe pictures or clean examples. Complete a simple make a food choice challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-004,Nursery,Read the Label,Ingredient Display,Your class is exploring a ingredient display. The teacher shows safe pictures or clean examples. Complete a simple read the label challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-005,Nursery,Plan a Meal,School Lunch Scenario,Your class is exploring a school lunch scenario. The teacher shows safe pictures or clean examples. Complete a simple plan a meal challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-006,Nursery,Use Water Wisely,Water Station,Your class is exploring a water station. The teacher shows safe pictures or clean examples. Complete a simple use water wisely challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-007,Nursery,Reduce Food Waste,Storage Shelf,Your class is exploring a storage shelf. The teacher shows safe pictures or clean examples. Complete a simple reduce food waste challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-008,Nursery,Think Seasonally,Market Basket,Your class is exploring a market basket. The teacher shows safe pictures or clean examples. Complete a simple think seasonally challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-009,Nursery,Store & Handle Responsibly,Food Journey Map,Your class is exploring a food journey map. The teacher shows safe pictures or clean examples. Complete a simple store & handle responsibly challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-010,Nursery,Solve a Food-System Challenge,School Food-Waste Station,Your class is exploring a school food-waste station. The teacher shows safe pictures or clean examples. Complete a simple solve a food-system challenge challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-011,Nursery,Know the Ingredient,Classroom Food Table,Your class is exploring a classroom food table. The teacher shows safe pictures or clean examples. Complete a simple know the ingredient challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-012,Nursery,Build a Food Journey,Harvest Basket,Your class is exploring a harvest basket. The teacher shows safe pictures or clean examples. Complete a simple build a food journey challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-013,Nursery,Make a Food Choice,Ingredient Display,Your class is exploring a ingredient display. The teacher shows safe pictures or clean examples. Complete a simple make a food choice challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-014,Nursery,Read the Label,School Lunch Scenario,Your class is exploring a school lunch scenario. The teacher shows safe pictures or clean examples. Complete a simple read the label challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-015,Nursery,Plan a Meal,Water Station,Your class is exploring a water station. The teacher shows safe pictures or clean examples. Complete a simple plan a meal challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-016,Nursery,Use Water Wisely,Storage Shelf,Your class is exploring a storage shelf. The teacher shows safe pictures or clean examples. Complete a simple use water wisely challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
