Week,Check_Item,Status,Issue,Action,Owner,Closure_Date
1,Water system functioning,,,,,
1,Beds/containers safe,,,,,
1,Paths clear,,,,,
1,Structures secure,,,,,
1,Labels readable,,,,,
1,Tools accounted for,,,,,
1,Growing media condition checked,,,,,
1,Crop stress/pests observed,,,,,
1,Waste removed/managed,,,,,
1,Learning station ready,,,,,
1,Repair needed recorded,,,,,
1,Area safe to open,,,,,
2,Water system functioning,,,,,
2,Beds/containers safe,,,,,
2,Paths clear,,,,,
2,Structures secure,,,,,
2,Labels readable,,,,,
2,Tools accounted for,,,,,
2,Growing media condition checked,,,,,
2,Crop stress/pests observed,,,,,
2,Waste removed/managed,,,,,
2,Learning station ready,,,,,
2,Repair needed recorded,,,,,
2,Area safe to open,,,,,
3,Water system functioning,,,,,
3,Beds/containers safe,,,,,
3,Paths clear,,,,,
3,Structures secure,,,,,
3,Labels readable,,,,,
3,Tools accounted for,,,,,
3,Growing media condition checked,,,,,
3,Crop stress/pests observed,,,,,
3,Waste removed/managed,,,,,
3,Learning station ready,,,,,
3,Repair needed recorded,,,,,
3,Area safe to open,,,,,
4,Water system functioning,,,,,
4,Beds/containers safe,,,,,
4,Paths clear,,,,,
4,Structures secure,,,,,
4,Labels readable,,,,,
4,Tools accounted for,,,,,
4,Growing media condition checked,,,,,
4,Crop stress/pests observed,,,,,
4,Waste removed/managed,,,,,
4,Learning station ready,,,,,
4,Repair needed recorded,,,,,
4,Area safe to open,,,,,
5,Water system functioning,,,,,
5,Beds/containers safe,,,,,
5,Paths clear,,,,,
5,Structures secure,,,,,
5,Labels readable,,,,,
5,Tools accounted for,,,,,
5,Growing media condition checked,,,,,
5,Crop stress/pests observed,,,,,
5,Waste removed/managed,,,,,
5,Learning station ready,,,,,
5,Repair needed recorded,,,,,
5,Area safe to open,,,,,
6,Water system functioning,,,,,
6,Beds/containers safe,,,,,
6,Paths clear,,,,,
6,Structures secure,,,,,
6,Labels readable,,,,,
6,Tools accounted for,,,,,
6,Growing media condition checked,,,,,
6,Crop stress/pests observed,,,,,
6,Waste removed/managed,,,,,
6,Learning station ready,,,,,
6,Repair needed recorded,,,,,
6,Area safe to open,,,,,
7,Water system functioning,,,,,
7,Beds/containers safe,,,,,
7,Paths clear,,,,,
7,Structures secure,,,,,
7,Labels readable,,,,,
7,Tools accounted for,,,,,
7,Growing media condition checked,,,,,
7,Crop stress/pests observed,,,,,
7,Waste removed/managed,,,,,
7,Learning station ready,,,,,
7,Repair needed recorded,,,,,
7,Area safe to open,,,,,
8,Water system functioning,,,,,
8,Beds/containers safe,,,,,
8,Paths clear,,,,,
8,Structures secure,,,,,
8,Labels readable,,,,,
8,Tools accounted for,,,,,
8,Growing media condition checked,,,,,
8,Crop stress/pests observed,,,,,
8,Waste removed/managed,,,,,
8,Learning station ready,,,,,
8,Repair needed recorded,,,,,
8,Area safe to open,,,,,
9,Water system functioning,,,,,
9,Beds/containers safe,,,,,
9,Paths clear,,,,,
9,Structures secure,,,,,
9,Labels readable,,,,,
9,Tools accounted for,,,,,
9,Growing media condition checked,,,,,
9,Crop stress/pests observed,,,,,
9,Waste removed/managed,,,,,
9,Learning station ready,,,,,
9,Repair needed recorded,,,,,
9,Area safe to open,,,,,
10,Water system functioning,,,,,
10,Beds/containers safe,,,,,
10,Paths clear,,,,,
10,Structures secure,,,,,
10,Labels readable,,,,,
10,Tools accounted for,,,,,
10,Growing media condition checked,,,,,
10,Crop stress/pests observed,,,,,
10,Waste removed/managed,,,,,
10,Learning station ready,,,,,
10,Repair needed recorded,,,,,
10,Area safe to open,,,,,
11,Water system functioning,,,,,
11,Beds/containers safe,,,,,
11,Paths clear,,,,,
11,Structures secure,,,,,
11,Labels readable,,,,,
11,Tools accounted for,,,,,
11,Growing media condition checked,,,,,
11,Crop stress/pests observed,,,,,
11,Waste removed/managed,,,,,
11,Learning station ready,,,,,
11,Repair needed recorded,,,,,
11,Area safe to open,,,,,
12,Water system functioning,,,,,
12,Beds/containers safe,,,,,
12,Paths clear,,,,,
12,Structures secure,,,,,
12,Labels readable,,,,,
12,Tools accounted for,,,,,
12,Growing media condition checked,,,,,
12,Crop stress/pests observed,,,,,
12,Waste removed/managed,,,,,
12,Learning station ready,,,,,
12,Repair needed recorded,,,,,
12,Area safe to open,,,,,
