id,level,garden,mission_no,title,mission,materials,evidence,success,safety,agrishine
GM-001,Nursery,Alphabet Garden,1,FIND THE LETTERS!,"Find something about letters and garden words. Work with your teacher or helper, then show what you noticed.","letter labels, plants",a letter or word match,I completed the challenge carefully and can tell one thing I discovered.,Find and name. Follow teacher instructions and school garden safety rules.,Help make the Alphabet Garden neat and learning-ready by completing one teacher-approved care action.
GM-002,Nursery,Alphabet Garden,2,GARDEN MATCH MISSION,"Match something about letters and garden words. Work with your teacher or helper, then show what you noticed.","letter labels, plants",a letter or word match,I completed the challenge carefully and can tell one thing I discovered.,Find and name. Follow teacher instructions and school garden safety rules.,Help make the Alphabet Garden neat and learning-ready by completing one teacher-approved care action.
GM-003,Nursery,Alphabet Garden,3,COUNT AND TELL,"Count something about letters and garden words. Work with your teacher or helper, then show what you noticed.","letter labels, plants",a letter or word match,I completed the challenge carefully and can tell one thing I discovered.,Find and name. Follow teacher instructions and school garden safety rules.,Help make the Alphabet Garden neat and learning-ready by completing one teacher-approved care action.
GM-004,Nursery,Alphabet Garden,4,SORT THE LETTERS!,"Sort something about letters and garden words. Work with your teacher or helper, then show what you noticed.","letter labels, plants",a letter or word match,I completed the challenge carefully and can tell one thing I discovered.,Find and name. Follow teacher instructions and school garden safety rules.,Help make the Alphabet Garden neat and learning-ready by completing one teacher-approved care action.
GM-005,Nursery,Alphabet Garden,5,GARDEN NOTICE MISSION,"Notice something about letters and garden words. Work with your teacher or helper, then show what you noticed.","letter labels, plants",a letter or word match,I completed the challenge carefully and can tell one thing I discovered.,Find and name. Follow teacher instructions and school garden safety rules.,Help make the Alphabet Garden neat and learning-ready by completing one teacher-approved care action.
GM-006,Nursery,Alphabet Garden,6,COMPARE AND TELL,"Compare something about letters and garden words. Work with your teacher or helper, then show what you noticed.","letter labels, plants",a letter or word match,I completed the challenge carefully and can tell one thing I discovered.,Find and name. Follow teacher instructions and school garden safety rules.,Help make the Alphabet Garden neat and learning-ready by completing one teacher-approved care action.
GM-007,Nursery,Alphabet Garden,7,CARE THE LETTERS!,"Care something about letters and garden words. Work with your teacher or helper, then show what you noticed.","letter labels, plants",a letter or word match,I completed the challenge carefully and can tell one thing I discovered.,Find and name. Follow teacher instructions and school garden safety rules.,Help make the Alphabet Garden neat and learning-ready by completing one teacher-approved care action.
GM-008,Nursery,Alphabet Garden,8,GARDEN SEARCH MISSION,"Search something about letters and garden words. Work with your teacher or helper, then show what you noticed.","letter labels, plants",a letter or word match,I completed the challenge carefully and can tell one thing I discovered.,Find and name. Follow teacher instructions and school garden safety rules.,Help make the Alphabet Garden neat and learning-ready by completing one teacher-approved care action.
GM-009,Nursery,Alphabet Garden,9,SHOW AND TELL,"Show something about letters and garden words. Work with your teacher or helper, then show what you noticed.","letter labels, plants",a letter or word match,I completed the challenge carefully and can tell one thing I discovered.,Find and name. Follow teacher instructions and school garden safety rules.,Help make the Alphabet Garden neat and learning-ready by completing one teacher-approved care action.
GM-010,Nursery,Alphabet Garden,10,DISCOVER THE LETTERS!,"Discover something about letters and garden words. Work with your teacher or helper, then show what you noticed.","letter labels, plants",a letter or word match,I completed the challenge carefully and can tell one thing I discovered.,Find and name. Follow teacher instructions and school garden safety rules.,Help make the Alphabet Garden neat and learning-ready by completing one teacher-approved care action.
GM-011,Nursery,Number Garden,1,FIND THE NUMBERS!,"Find something about numbers and quantities. Work with your teacher or helper, then show what you noticed.","plants, leaves, counters",a count from 1 to 10,I completed the challenge carefully and can tell one thing I discovered.,Count carefully. Follow teacher instructions and school garden safety rules.,Help make the Number Garden neat and learning-ready by completing one teacher-approved care action.
GM-012,Nursery,Number Garden,2,GARDEN MATCH MISSION,"Match something about numbers and quantities. Work with your teacher or helper, then show what you noticed.","plants, leaves, counters",a count from 1 to 10,I completed the challenge carefully and can tell one thing I discovered.,Count carefully. Follow teacher instructions and school garden safety rules.,Help make the Number Garden neat and learning-ready by completing one teacher-approved care action.
