PA_ID,Level,Garden,Activity,Learning_Objective,Expected_Evidence
PA-001,Nursery,Alphabet Garden,SEE - Alphabet Garden,"Help learners see and talk about letters, labels and familiar garden objects through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-002,Nursery,Alphabet Garden,SAY - Alphabet Garden,"Help learners say and talk about letters, labels and familiar garden objects through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-003,Nursery,Alphabet Garden,FIND - Alphabet Garden,"Help learners find and talk about letters, labels and familiar garden objects through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-004,Nursery,Alphabet Garden,COUNT - Alphabet Garden,"Help learners count and talk about letters, labels and familiar garden objects through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-005,Nursery,Alphabet Garden,MATCH - Alphabet Garden,"Help learners match and talk about letters, labels and familiar garden objects through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-006,Nursery,Alphabet Garden,SORT - Alphabet Garden,"Help learners sort and talk about letters, labels and familiar garden objects through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-007,Nursery,Alphabet Garden,COMPARE - Alphabet Garden,"Help learners compare and talk about letters, labels and familiar garden objects through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-008,Nursery,Alphabet Garden,DRAW - Alphabet Garden,"Help learners draw and talk about letters, labels and familiar garden objects through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-009,Nursery,Alphabet Garden,CARE - Alphabet Garden,"Help learners care and talk about letters, labels and familiar garden objects through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-010,Nursery,Alphabet Garden,DISCOVER - Alphabet Garden,"Help learners discover and talk about letters, labels and familiar garden objects through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-011,Nursery,Number Garden,SEE - Number Garden,"Help learners see and talk about numbers, counting and quantities through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-012,Nursery,Number Garden,SAY - Number Garden,"Help learners say and talk about numbers, counting and quantities through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-013,Nursery,Number Garden,FIND - Number Garden,"Help learners find and talk about numbers, counting and quantities through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-014,Nursery,Number Garden,COUNT - Number Garden,"Help learners count and talk about numbers, counting and quantities through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-015,Nursery,Number Garden,MATCH - Number Garden,"Help learners match and talk about numbers, counting and quantities through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-016,Nursery,Number Garden,SORT - Number Garden,"Help learners sort and talk about numbers, counting and quantities through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
