Domain_Code,Domain,Weight,Indicator,Score_0_4,Evidence,Finding,Corrective_Action
D1,Leadership & Readiness,10,Leadership approval/accountability,,,,
D1,Leadership & Readiness,10,GrowMeal coordinator active,,,,
D1,Leadership & Readiness,10,Protected timetable,,,,
D1,Leadership & Readiness,10,Roles documented,,,,
D1,Leadership & Readiness,10,Implementation records available,,,,
D2,Garden Operations & Safety,15,Garden systems functional,,,,
D2,Garden Operations & Safety,15,Water reliable,,,,
D2,Garden Operations & Safety,15,Tools controlled,,,,
D2,Garden Operations & Safety,15,Maintenance current,,,,
D2,Garden Operations & Safety,15,Safety/hygiene procedures followed,,,,
D3,Teacher Delivery Quality,20,Objective/vocabulary clear,,,,
D3,Teacher Delivery Quality,20,Demonstration quality,,,,
D3,Teacher Delivery Quality,20,Meaningful learner practical work,,,,
D3,Teacher Delivery Quality,20,Questioning supports reasoning,,,,
D3,Teacher Delivery Quality,20,Differentiation/feedback evident,,,,
D4,Learner Participation & Practical Competence,15,Learners actively participate,,,,
D4,Learner Participation & Practical Competence,15,Practical competence observed,,,,
D4,Learner Participation & Practical Competence,15,Safe tool/material use,,,,
D4,Learner Participation & Practical Competence,15,Learner evidence identifiable,,,,
D4,Learner Participation & Practical Competence,15,Learner ownership/responsibility visible,,,,
D5,"Investigation, Data & Problem Solving",15,Measurements/observations traceable,,,,
D5,"Investigation, Data & Problem Solving",15,Data recording appropriate,,,,
D5,"Investigation, Data & Problem Solving",15,Analysis appropriate to level,,,,
D5,"Investigation, Data & Problem Solving",15,Garden Missions used,,,,
D5,"Investigation, Data & Problem Solving",15,Evidence supports decisions,,,,
D6,Food Literacy & Resource Stewardship,10,Ingredient Lab used,,,,
D6,Food Literacy & Resource Stewardship,10,Farm-to-Food used,,,,
D6,Food Literacy & Resource Stewardship,10,Food Smart Challenges used,,,,
D6,Food Literacy & Resource Stewardship,10,Water/resource stewardship taught,,,,
D6,Food Literacy & Resource Stewardship,10,Waste/loss learning evident,,,,
D7,"Assessment, Passport & Moderation",10,Assessment completed,,,,
D7,"Assessment, Passport & Moderation",10,Four dimensions assessed,,,,
D7,"Assessment, Passport & Moderation",10,Rubric used consistently,,,,
D7,"Assessment, Passport & Moderation",10,Moderation/reassessment evident,,,,
D7,"Assessment, Passport & Moderation",10,Passports verified,,,,
D8,"Reporting, Improvement & Community Engagement",5,Term reporting completed,,,,
D8,"Reporting, Improvement & Community Engagement",5,Corrective actions tracked,,,,
D8,"Reporting, Improvement & Community Engagement",5,Improvement decisions documented,,,,
D8,"Reporting, Improvement & Community Engagement",5,Community engagement appropriate,,,,
D8,"Reporting, Improvement & Community Engagement",5,Evidence retained,,,,
