Resource,Identifier / scope,Primary function
Concept Flashcards,"1,000 cards",Concept recognition and vocabulary activation
Practical Activity Cards,PA-001-PA-500,Hands-on competence
Student Journals,5 level editions,"Observation, measurement, investigation and reflection"
Garden Mission Cards,GM-001-GM-500,Applied problem solving
Assessment & Quiz System,AQ-001-AQ-500,"Knowledge, practical, data and mission assessment"
Teacher Practical Manuals,PA-001-PA-500,Detailed facilitation guidance
Teacher Demonstration Cards,TD-001-TD-500,Teacher modeling and checks
Vocabulary & Concept System,"3,900 entries",Progressive technical language
Farm-to-Food Activities,FF-001-FF-500,Garden-to-food literacy
Ingredient Lab,IL-001-IL-500,Ingredient investigation
Food Smart Challenges,FSC-001-FSC-500,Real-world food-system decisions
Food Smart Passport,5 level editions,Learner achievement verification
12-Week Lesson Plans,5 level editions,Term implementation sequence
Master Teacher Guide,All levels,Umbrella implementation standard
