ID,Level,Ingredient,Plant_Part,Theme,Objective,Materials,DIY,Method,Evidence,Questions,Safety
IL-001,Nursery,Hibiscus,Calyx,Identity & Plant Part,"Help children recognize hibiscus, identify its calyx as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the identity & plant part task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the hibiscus? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-002,Nursery,Hibiscus,Calyx,External Structure,"Help children recognize hibiscus, identify its calyx as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the external structure task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the hibiscus? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-003,Nursery,Hibiscus,Calyx,Internal Structure,"Help children recognize hibiscus, identify its calyx as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the internal structure task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the hibiscus? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-004,Nursery,Hibiscus,Calyx,Colour & Texture,"Help children recognize hibiscus, identify its calyx as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the colour & texture task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the hibiscus? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-005,Nursery,Hibiscus,Calyx,Mass & Size,"Help children recognize hibiscus, identify its calyx as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the mass & size task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the hibiscus? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-006,Nursery,Hibiscus,Calyx,Water/Change Observation,"Help children recognize hibiscus, identify its calyx as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the water/change observation task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the hibiscus? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-007,Nursery,Hibiscus,Calyx,Sorting & Quality,"Help children recognize hibiscus, identify its calyx as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the sorting & quality task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the hibiscus? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-008,Nursery,Hibiscus,Calyx,Post-Harvest Change,"Help children recognize hibiscus, identify its calyx as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the post-harvest change task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the hibiscus? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-009,Nursery,Hibiscus,Calyx,Ingredient-to-Food Pathway,"Help children recognize hibiscus, identify its calyx as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the ingredient-to-food pathway task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the hibiscus? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-010,Nursery,Hibiscus,Calyx,Investigation Challenge,"Help children recognize hibiscus, identify its calyx as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the investigation challenge task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the hibiscus? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
