Level,Week,Garden_or_Focus,Learning_Objective,Vocabulary,Resource_Links,Integrated_Extension,Assessment,Suggested_Flow
Nursery,1,Alphabet Garden,"Explore the Alphabet Garden; name visible features, count or match examples, practise safe garden care and tell one discovery.","5-8 concrete words linked to the week's garden; use picture/word cards, repetition, pointing and oral language.",Flashcards for Alphabet Garden; TD-001 to TD-010; PA-001 to PA-010; GM-001 to GM-010; AQ-001 to AQ-010.,"Select one IL-001–IL-010, FF-001–FF-010, or FSC-001–FSC-010 activity where it fits the week's garden evidence.","Use observation plus AQ-001–AQ-010; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Welcome & vocabulary (5-10 min) -> teacher demonstration (5 min) -> supervised garden activity (15-20 min) -> draw/count/tell (10 min) -> care/cleanup (5 min).
Nursery,2,Number Garden,"Explore the Number Garden; name visible features, count or match examples, practise safe garden care and tell one discovery.","5-8 concrete words linked to the week's garden; use picture/word cards, repetition, pointing and oral language.",Flashcards for Number Garden; TD-011 to TD-020; PA-011 to PA-020; GM-011 to GM-020; AQ-011 to AQ-020.,"Select one IL-011–IL-020, FF-011–FF-020, or FSC-011–FSC-020 activity where it fits the week's garden evidence.","Use observation plus AQ-011–AQ-020; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Welcome & vocabulary (5-10 min) -> teacher demonstration (5 min) -> supervised garden activity (15-20 min) -> draw/count/tell (10 min) -> care/cleanup (5 min).
Nursery,3,Geometry Garden,"Explore the Geometry Garden; name visible features, count or match examples, practise safe garden care and tell one discovery.","5-8 concrete words linked to the week's garden; use picture/word cards, repetition, pointing and oral language.",Flashcards for Geometry Garden; TD-021 to TD-030; PA-021 to PA-030; GM-021 to GM-030; AQ-021 to AQ-030.,"Select one IL-021–IL-030, FF-021–FF-030, or FSC-021–FSC-030 activity where it fits the week's garden evidence.","Use observation plus AQ-021–AQ-030; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Welcome & vocabulary (5-10 min) -> teacher demonstration (5 min) -> supervised garden activity (15-20 min) -> draw/count/tell (10 min) -> care/cleanup (5 min).
Nursery,4,Leaf Garden,"Explore the Leaf Garden; name visible features, count or match examples, practise safe garden care and tell one discovery.","5-8 concrete words linked to the week's garden; use picture/word cards, repetition, pointing and oral language.",Flashcards for Leaf Garden; TD-031 to TD-040; PA-031 to PA-040; GM-031 to GM-040; AQ-031 to AQ-040.,"Select one IL-031–IL-040, FF-031–FF-040, or FSC-031–FSC-040 activity where it fits the week's garden evidence.","Use observation plus AQ-031–AQ-040; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Welcome & vocabulary (5-10 min) -> teacher demonstration (5 min) -> supervised garden activity (15-20 min) -> draw/count/tell (10 min) -> care/cleanup (5 min).
Nursery,5,Butterfly Garden,"Explore the Butterfly Garden; name visible features, count or match examples, practise safe garden care and tell one discovery.","5-8 concrete words linked to the week's garden; use picture/word cards, repetition, pointing and oral language.",Flashcards for Butterfly Garden; TD-041 to TD-050; PA-041 to PA-050; GM-041 to GM-050; AQ-041 to AQ-050.,"Select one IL-041–IL-050, FF-041–FF-050, or FSC-041–FSC-050 activity where it fits the week's garden evidence.","Use observation plus AQ-041–AQ-050; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Welcome & vocabulary (5-10 min) -> teacher demonstration (5 min) -> supervised garden activity (15-20 min) -> draw/count/tell (10 min) -> care/cleanup (5 min).
Nursery,6,ReBottle Garden,"Explore the ReBottle Garden; name visible features, count or match examples, practise safe garden care and tell one discovery.","5-8 concrete words linked to the week's garden; use picture/word cards, repetition, pointing and oral language.",Flashcards for ReBottle Garden; TD-051 to TD-060; PA-051 to PA-060; GM-051 to GM-060; AQ-051 to AQ-060.,"Select one IL-051–IL-060, FF-051–FF-060, or FSC-051–FSC-060 activity where it fits the week's garden evidence.","Use observation plus AQ-051–AQ-060; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Welcome & vocabulary (5-10 min) -> teacher demonstration (5 min) -> supervised garden activity (15-20 min) -> draw/count/tell (10 min) -> care/cleanup (5 min).
Nursery,7,MicroGrow Garden,"Explore the MicroGrow Garden; name visible features, count or match examples, practise safe garden care and tell one discovery.","5-8 concrete words linked to the week's garden; use picture/word cards, repetition, pointing and oral language.",Flashcards for MicroGrow Garden; TD-061 to TD-070; PA-061 to PA-070; GM-061 to GM-070; AQ-061 to AQ-070.,"Select one IL-061–IL-070, FF-061–FF-070, or FSC-061–FSC-070 activity where it fits the week's garden evidence.","Use observation plus AQ-061–AQ-070; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Welcome & vocabulary (5-10 min) -> teacher demonstration (5 min) -> supervised garden activity (15-20 min) -> draw/count/tell (10 min) -> care/cleanup (5 min).
Nursery,8,Mini Table Garden,"Explore the Mini Table Garden; name visible features, count or match examples, practise safe garden care and tell one discovery.","5-8 concrete words linked to the week's garden; use picture/word cards, repetition, pointing and oral language.",Flashcards for Mini Table Garden; TD-071 to TD-080; PA-071 to PA-080; GM-071 to GM-080; AQ-071 to AQ-080.,"Select one IL-071–IL-080, FF-071–FF-080, or FSC-071–FSC-080 activity where it fits the week's garden evidence.","Use observation plus AQ-071–AQ-080; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Welcome & vocabulary (5-10 min) -> teacher demonstration (5 min) -> supervised garden activity (15-20 min) -> draw/count/tell (10 min) -> care/cleanup (5 min).
Nursery,9,Sack Garden,"Explore the Sack Garden; name visible features, count or match examples, practise safe garden care and tell one discovery.","5-8 concrete words linked to the week's garden; use picture/word cards, repetition, pointing and oral language.",Flashcards for Sack Garden; TD-081 to TD-090; PA-081 to PA-090; GM-081 to GM-090; AQ-081 to AQ-090.,"Select one IL-081–IL-090, FF-081–FF-090, or FSC-081–FSC-090 activity where it fits the week's garden evidence.","Use observation plus AQ-081–AQ-090; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Welcome & vocabulary (5-10 min) -> teacher demonstration (5 min) -> supervised garden activity (15-20 min) -> draw/count/tell (10 min) -> care/cleanup (5 min).
Nursery,10,Discovery Garden,"Explore the Discovery Garden; name visible features, count or match examples, practise safe garden care and tell one discovery.","5-8 concrete words linked to the week's garden; use picture/word cards, repetition, pointing and oral language.",Flashcards for Discovery Garden; TD-091 to TD-100; PA-091 to PA-100; GM-091 to GM-100; AQ-091 to AQ-100.,"Select one IL-091–IL-100, FF-091–FF-100, or FSC-091–FSC-100 activity where it fits the week's garden evidence.","Use observation plus AQ-091–AQ-100; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Welcome & vocabulary (5-10 min) -> teacher demonstration (5 min) -> supervised garden activity (15-20 min) -> draw/count/tell (10 min) -> care/cleanup (5 min).
