id,level,garden,verb,setup,demo,ask,observe,check,close
TD-001,Nursery,Alphabet Garden,See,Choose 1-3 safe examples of letters and garden words. Keep the group close and materials simple.,"Model how to look carefully, then see one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-002,Nursery,Alphabet Garden,Say,Choose 1-3 safe examples of letters and garden words. Keep the group close and materials simple.,"Model how to look carefully, then say one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-003,Nursery,Alphabet Garden,Find,Choose 1-3 safe examples of letters and garden words. Keep the group close and materials simple.,"Model how to look carefully, then find one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-004,Nursery,Alphabet Garden,Count,Choose 1-3 safe examples of letters and garden words. Keep the group close and materials simple.,"Model how to look carefully, then count one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-005,Nursery,Alphabet Garden,Match,Choose 1-3 safe examples of letters and garden words. Keep the group close and materials simple.,"Model how to look carefully, then match one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-006,Nursery,Alphabet Garden,Sort,Choose 1-3 safe examples of letters and garden words. Keep the group close and materials simple.,"Model how to look carefully, then sort one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-007,Nursery,Alphabet Garden,Compare,Choose 1-3 safe examples of letters and garden words. Keep the group close and materials simple.,"Model how to look carefully, then compare one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-008,Nursery,Alphabet Garden,Draw,Choose 1-3 safe examples of letters and garden words. Keep the group close and materials simple.,"Model how to look carefully, then draw one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-009,Nursery,Alphabet Garden,Care,Choose 1-3 safe examples of letters and garden words. Keep the group close and materials simple.,"Model how to look carefully, then care one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-010,Nursery,Alphabet Garden,Discover,Choose 1-3 safe examples of letters and garden words. Keep the group close and materials simple.,"Model how to look carefully, then discover one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
