Module_Code,Module,Learning_Outcome,Recommended_Hours
M01,GrowMeal Foundations,"Understand AgriShine/GrowMeal purpose, learning architecture, level progression and the 12-week cycle.",3
M02,"Garden Safety, Safeguarding & Hygiene","Apply site, tool, learner-supervision, food-contact and incident-control standards.",4
M03,Garden Systems & Operations,"Operate level-appropriate gardens, water systems, tools, inputs, maintenance and records.",5
M04,"Vocabulary, Flashcards & Demonstration",Teach technical language and model practical procedures effectively.,3
M05,Practical Activity Facilitation,"Prepare, facilitate, differentiate and assess hands-on GrowMeal practical work.",5
M06,"Journals, Observation & Evidence","Develop age-appropriate observation, measurement, recording and evidence quality.",4
M07,Garden Missions & Problem Solving,Facilitate applied challenges without solving them for learners.,3
M08,Ingredient Lab & Farm-to-Food,"Teach ingredient investigation, post-harvest thinking, food journeys and food-safety boundaries.",4
M09,Food Smart Challenges,"Facilitate evidence-based food, water, waste, storage and resource decisions.",3
M10,"Assessment, Rubrics & Moderation","Assess four dimensions, apply 0-3 rubrics, moderate judgments and manage reassessment.",5
M11,Food Smart Passport & Learner Progression,Verify learner achievements and manage level-completion evidence.,2
M12,12-Week Planning & Classroom Integration,Build a coherent weekly sequence using the full GrowMeal resource chain.,4
M13,Inclusion & Differentiation,"Adapt access, roles, scaffolding and extension while preserving learning standards.",3
M14,"Monitoring, Reporting & School Quality","Use operational records, KPIs, teacher observation and school certification evidence.",3
M15,Microteaching & Practical Competency Assessment,Demonstrate a complete GrowMeal lesson/practical under observation.,6
