id,level,garden,domain,question,answer
AQ-001,Nursery,Alphabet Garden,Knowledge,Point to or name one thing in the Alphabet Garden that helps you learn about letters and plant words.,"Accept a correct, observable example."
AQ-002,Nursery,Alphabet Garden,Knowledge,"Which action is safest in this garden: A) run, B) look carefully, C) pull plants?",B
AQ-003,Nursery,Alphabet Garden,Knowledge,Teacher shows two examples. Which one matches today's garden idea?,Accept the teacher-designated correct example.
AQ-004,Nursery,Alphabet Garden,Practical,Use the letter label to complete a simple task that shows matching a letter to a garden word.,0-3 performance rubric.
AQ-005,Nursery,Alphabet Garden,Practical,Show how to care for or observe the letter label safely.,0-3 safety/care rubric.
AQ-006,Nursery,Alphabet Garden,Investigation/Data,"Count, sort, match or compare something in the Alphabet Garden.",Record/communicate a correct simple observation.
AQ-007,Nursery,Alphabet Garden,Investigation/Data,Draw what you observed and show one important detail.,Drawing includes relevant observable detail.
AQ-008,Nursery,Alphabet Garden,Mission,Find one small garden challenge or difference and tell the teacher what you notice.,"Identifies a real, safe observation."
AQ-009,Nursery,Alphabet Garden,Mission,Choose one helpful garden action with your teacher and complete it.,Completes appropriate action safely.
AQ-010,Nursery,Alphabet Garden,Mission,Tell one thing you discovered and one thing you want to look for next time.,Relevant discovery + next curiosity.
AQ-011,Nursery,Number Garden,Knowledge,Point to or name one thing in the Number Garden that helps you learn about counting garden objects.,"Accept a correct, observable example."
AQ-012,Nursery,Number Garden,Knowledge,"Which action is safest in this garden: A) run, B) look carefully, C) pull plants?",B
AQ-013,Nursery,Number Garden,Knowledge,Teacher shows two examples. Which one matches today's garden idea?,Accept the teacher-designated correct example.
AQ-014,Nursery,Number Garden,Practical,Use the plant row to complete a simple task that shows counting accurately.,0-3 performance rubric.
AQ-015,Nursery,Number Garden,Practical,Show how to care for or observe the plant row safely.,0-3 safety/care rubric.
AQ-016,Nursery,Number Garden,Investigation/Data,"Count, sort, match or compare something in the Number Garden.",Record/communicate a correct simple observation.
AQ-017,Nursery,Number Garden,Investigation/Data,Draw what you observed and show one important detail.,Drawing includes relevant observable detail.
AQ-018,Nursery,Number Garden,Mission,Find one small garden challenge or difference and tell the teacher what you notice.,"Identifies a real, safe observation."
AQ-019,Nursery,Number Garden,Mission,Choose one helpful garden action with your teacher and complete it.,Completes appropriate action safely.
AQ-020,Nursery,Number Garden,Mission,Tell one thing you discovered and one thing you want to look for next time.,Relevant discovery + next curiosity.
AQ-021,Nursery,Geometry Garden,Knowledge,"Point to or name one thing in the Geometry Garden that helps you learn about shapes, sides and garden spaces.","Accept a correct, observable example."
AQ-022,Nursery,Geometry Garden,Knowledge,"Which action is safest in this garden: A) run, B) look carefully, C) pull plants?",B
AQ-023,Nursery,Geometry Garden,Knowledge,Teacher shows two examples. Which one matches today's garden idea?,Accept the teacher-designated correct example.
AQ-024,Nursery,Geometry Garden,Practical,Use the garden bed or path to complete a simple task that shows recognizing and measuring shapes.,0-3 performance rubric.
AQ-025,Nursery,Geometry Garden,Practical,Show how to care for or observe the garden bed or path safely.,0-3 safety/care rubric.
AQ-026,Nursery,Geometry Garden,Investigation/Data,"Count, sort, match or compare something in the Geometry Garden.",Record/communicate a correct simple observation.
AQ-027,Nursery,Geometry Garden,Investigation/Data,Draw what you observed and show one important detail.,Drawing includes relevant observable detail.
AQ-028,Nursery,Geometry Garden,Mission,Find one small garden challenge or difference and tell the teacher what you notice.,"Identifies a real, safe observation."
AQ-029,Nursery,Geometry Garden,Mission,Choose one helpful garden action with your teacher and complete it.,Completes appropriate action safely.
AQ-030,Nursery,Geometry Garden,Mission,Tell one thing you discovered and one thing you want to look for next time.,Relevant discovery + next curiosity.
AQ-031,Nursery,Leaf Garden,Knowledge,"Point to or name one thing in the Leaf Garden that helps you learn about leaf shape, size, color and texture.","Accept a correct, observable example."
AQ-032,Nursery,Leaf Garden,Knowledge,"Which action is safest in this garden: A) run, B) look carefully, C) pull plants?",B
AQ-033,Nursery,Leaf Garden,Knowledge,Teacher shows two examples. Which one matches today's garden idea?,Accept the teacher-designated correct example.
AQ-034,Nursery,Leaf Garden,Practical,Use the safe leaf to complete a simple task that shows comparing leaves.,0-3 performance rubric.
AQ-035,Nursery,Leaf Garden,Practical,Show how to care for or observe the safe leaf safely.,0-3 safety/care rubric.
AQ-036,Nursery,Leaf Garden,Investigation/Data,"Count, sort, match or compare something in the Leaf Garden.",Record/communicate a correct simple observation.
AQ-037,Nursery,Leaf Garden,Investigation/Data,Draw what you observed and show one important detail.,Drawing includes relevant observable detail.
AQ-038,Nursery,Leaf Garden,Mission,Find one small garden challenge or difference and tell the teacher what you notice.,"Identifies a real, safe observation."
AQ-039,Nursery,Leaf Garden,Mission,Choose one helpful garden action with your teacher and complete it.,Completes appropriate action safely.
AQ-040,Nursery,Leaf Garden,Mission,Tell one thing you discovered and one thing you want to look for next time.,Relevant discovery + next curiosity.
AQ-041,Nursery,Butterfly Garden,Knowledge,Point to or name one thing in the Butterfly Garden that helps you learn about flowers and garden visitors.,"Accept a correct, observable example."
AQ-042,Nursery,Butterfly Garden,Knowledge,"Which action is safest in this garden: A) run, B) look carefully, C) pull plants?",B
AQ-043,Nursery,Butterfly Garden,Knowledge,Teacher shows two examples. Which one matches today's garden idea?,Accept the teacher-designated correct example.
AQ-044,Nursery,Butterfly Garden,Practical,Use the flower patch to complete a simple task that shows observing without catching insects.,0-3 performance rubric.
AQ-045,Nursery,Butterfly Garden,Practical,Show how to care for or observe the flower patch safely.,0-3 safety/care rubric.
AQ-046,Nursery,Butterfly Garden,Investigation/Data,"Count, sort, match or compare something in the Butterfly Garden.",Record/communicate a correct simple observation.
AQ-047,Nursery,Butterfly Garden,Investigation/Data,Draw what you observed and show one important detail.,Drawing includes relevant observable detail.
AQ-048,Nursery,Butterfly Garden,Mission,Find one small garden challenge or difference and tell the teacher what you notice.,"Identifies a real, safe observation."
AQ-049,Nursery,Butterfly Garden,Mission,Choose one helpful garden action with your teacher and complete it.,Completes appropriate action safely.
AQ-050,Nursery,Butterfly Garden,Mission,Tell one thing you discovered and one thing you want to look for next time.,Relevant discovery + next curiosity.
AQ-051,Nursery,ReBottle Garden,Knowledge,Point to or name one thing in the ReBottle Garden that helps you learn about reused bottle planters.,"Accept a correct, observable example."
AQ-052,Nursery,ReBottle Garden,Knowledge,"Which action is safest in this garden: A) run, B) look carefully, C) pull plants?",B
AQ-053,Nursery,ReBottle Garden,Knowledge,Teacher shows two examples. Which one matches today's garden idea?,Accept the teacher-designated correct example.
AQ-054,Nursery,ReBottle Garden,Practical,Use the bottle planter to complete a simple task that shows observing planter position and plant growth.,0-3 performance rubric.
AQ-055,Nursery,ReBottle Garden,Practical,Show how to care for or observe the bottle planter safely.,0-3 safety/care rubric.
