id,mission_no,title,mission,evidence,agrishine
GM-281,1,QUESTION THE SYSTEM,"Investigate water movement and productivity. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","infiltration, applied water, runoff or productivity evidence",Recommend one practical improvement to the Water-Smart Garden based on your measurements.
GM-282,2,WATER-SMART INVESTIGATION,"Investigate water movement and productivity. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","infiltration, applied water, runoff or productivity evidence",Recommend one practical improvement to the Water-Smart Garden based on your measurements.
GM-283,3,EVIDENCE MISSION: TEST,"Investigate water movement and productivity. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","infiltration, applied water, runoff or productivity evidence",Recommend one practical improvement to the Water-Smart Garden based on your measurements.
GM-284,4,SAMPLE THE SYSTEM,"Investigate water movement and productivity. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","infiltration, applied water, runoff or productivity evidence",Recommend one practical improvement to the Water-Smart Garden based on your measurements.
GM-285,5,WATER-SMART INVESTIGATION,"Investigate water movement and productivity. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","infiltration, applied water, runoff or productivity evidence",Recommend one practical improvement to the Water-Smart Garden based on your measurements.
GM-286,6,EVIDENCE MISSION: GRAPH,"Investigate water movement and productivity. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","infiltration, applied water, runoff or productivity evidence",Recommend one practical improvement to the Water-Smart Garden based on your measurements.
GM-287,7,DIAGNOSE THE SYSTEM,"Investigate water movement and productivity. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","infiltration, applied water, runoff or productivity evidence",Recommend one practical improvement to the Water-Smart Garden based on your measurements.
GM-288,8,WATER-SMART INVESTIGATION,"Investigate water movement and productivity. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","infiltration, applied water, runoff or productivity evidence",Recommend one practical improvement to the Water-Smart Garden based on your measurements.
GM-289,9,EVIDENCE MISSION: IMPROVE,"Investigate water movement and productivity. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","infiltration, applied water, runoff or productivity evidence",Recommend one practical improvement to the Water-Smart Garden based on your measurements.
GM-290,10,RECOMMEND THE SYSTEM,"Investigate water movement and productivity. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","infiltration, applied water, runoff or productivity evidence",Recommend one practical improvement to the Water-Smart Garden based on your measurements.
