id,level,garden,verb,setup,demo,ask,observe,check,close
TD-281,Primary 4-6,Water-Smart Garden,Observe,"Define the question, samples/comparison and safe measurement method for water movement and productivity. Check tools before class.","Model how to observe with repeatable technique, clear units and a labeled data record.",Is the comparison fair? What stays the same? What pattern appears? Is there an unusual value? What limitation matters?,"Check sample identity, repeat measurements, units, table quality and whether conclusions match the evidence.",Learner produces comparable data plus a calculation/graph or defensible evidence-based explanation.,"Discuss pattern and limitation, state one practical implication, clean the area and assign the linked mission/journal task."
TD-282,Primary 4-6,Water-Smart Garden,Measure,"Define the question, samples/comparison and safe measurement method for water movement and productivity. Check tools before class.","Model how to measure with repeatable technique, clear units and a labeled data record.",Is the comparison fair? What stays the same? What pattern appears? Is there an unusual value? What limitation matters?,"Check sample identity, repeat measurements, units, table quality and whether conclusions match the evidence.",Learner produces comparable data plus a calculation/graph or defensible evidence-based explanation.,"Discuss pattern and limitation, state one practical implication, clean the area and assign the linked mission/journal task."
TD-283,Primary 4-6,Water-Smart Garden,Question,"Define the question, samples/comparison and safe measurement method for water movement and productivity. Check tools before class.","Model how to question with repeatable technique, clear units and a labeled data record.",Is the comparison fair? What stays the same? What pattern appears? Is there an unusual value? What limitation matters?,"Check sample identity, repeat measurements, units, table quality and whether conclusions match the evidence.",Learner produces comparable data plus a calculation/graph or defensible evidence-based explanation.,"Discuss pattern and limitation, state one practical implication, clean the area and assign the linked mission/journal task."
TD-284,Primary 4-6,Water-Smart Garden,Sample,"Define the question, samples/comparison and safe measurement method for water movement and productivity. Check tools before class.","Model how to sample with repeatable technique, clear units and a labeled data record.",Is the comparison fair? What stays the same? What pattern appears? Is there an unusual value? What limitation matters?,"Check sample identity, repeat measurements, units, table quality and whether conclusions match the evidence.",Learner produces comparable data plus a calculation/graph or defensible evidence-based explanation.,"Discuss pattern and limitation, state one practical implication, clean the area and assign the linked mission/journal task."
TD-285,Primary 4-6,Water-Smart Garden,Investigate,"Define the question, samples/comparison and safe measurement method for water movement and productivity. Check tools before class.","Model how to investigate with repeatable technique, clear units and a labeled data record.",Is the comparison fair? What stays the same? What pattern appears? Is there an unusual value? What limitation matters?,"Check sample identity, repeat measurements, units, table quality and whether conclusions match the evidence.",Learner produces comparable data plus a calculation/graph or defensible evidence-based explanation.,"Discuss pattern and limitation, state one practical implication, clean the area and assign the linked mission/journal task."
TD-286,Primary 4-6,Water-Smart Garden,Calculate,"Define the question, samples/comparison and safe measurement method for water movement and productivity. Check tools before class.","Model how to calculate with repeatable technique, clear units and a labeled data record.",Is the comparison fair? What stays the same? What pattern appears? Is there an unusual value? What limitation matters?,"Check sample identity, repeat measurements, units, table quality and whether conclusions match the evidence.",Learner produces comparable data plus a calculation/graph or defensible evidence-based explanation.,"Discuss pattern and limitation, state one practical implication, clean the area and assign the linked mission/journal task."
TD-287,Primary 4-6,Water-Smart Garden,Graph,"Define the question, samples/comparison and safe measurement method for water movement and productivity. Check tools before class.","Model how to graph with repeatable technique, clear units and a labeled data record.",Is the comparison fair? What stays the same? What pattern appears? Is there an unusual value? What limitation matters?,"Check sample identity, repeat measurements, units, table quality and whether conclusions match the evidence.",Learner produces comparable data plus a calculation/graph or defensible evidence-based explanation.,"Discuss pattern and limitation, state one practical implication, clean the area and assign the linked mission/journal task."
TD-288,Primary 4-6,Water-Smart Garden,Analyze,"Define the question, samples/comparison and safe measurement method for water movement and productivity. Check tools before class.","Model how to analyze with repeatable technique, clear units and a labeled data record.",Is the comparison fair? What stays the same? What pattern appears? Is there an unusual value? What limitation matters?,"Check sample identity, repeat measurements, units, table quality and whether conclusions match the evidence.",Learner produces comparable data plus a calculation/graph or defensible evidence-based explanation.,"Discuss pattern and limitation, state one practical implication, clean the area and assign the linked mission/journal task."
TD-289,Primary 4-6,Water-Smart Garden,Explain,"Define the question, samples/comparison and safe measurement method for water movement and productivity. Check tools before class.","Model how to explain with repeatable technique, clear units and a labeled data record.",Is the comparison fair? What stays the same? What pattern appears? Is there an unusual value? What limitation matters?,"Check sample identity, repeat measurements, units, table quality and whether conclusions match the evidence.",Learner produces comparable data plus a calculation/graph or defensible evidence-based explanation.,"Discuss pattern and limitation, state one practical implication, clean the area and assign the linked mission/journal task."
TD-290,Primary 4-6,Water-Smart Garden,Recommend,"Define the question, samples/comparison and safe measurement method for water movement and productivity. Check tools before class.","Model how to recommend with repeatable technique, clear units and a labeled data record.",Is the comparison fair? What stays the same? What pattern appears? Is there an unusual value? What limitation matters?,"Check sample identity, repeat measurements, units, table quality and whether conclusions match the evidence.",Learner produces comparable data plus a calculation/graph or defensible evidence-based explanation.,"Discuss pattern and limitation, state one practical implication, clean the area and assign the linked mission/journal task."
