id,garden,mission_no,title,mission,materials,evidence,success,safety,agrishine
GM-201,Raised Food Garden,1,QUESTION THE SYSTEM,"Investigate raised-bed production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","ruler, plants, bed","height, spacing, moisture or harvest evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Use tools safely. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Raised Food Garden based on your measurements.
GM-202,Raised Food Garden,2,RAISED INVESTIGATION,"Investigate raised-bed production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","ruler, plants, bed","height, spacing, moisture or harvest evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Use tools safely. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Raised Food Garden based on your measurements.
GM-203,Raised Food Garden,3,EVIDENCE MISSION: TEST,"Investigate raised-bed production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","ruler, plants, bed","height, spacing, moisture or harvest evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Use tools safely. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Raised Food Garden based on your measurements.
GM-204,Raised Food Garden,4,SAMPLE THE SYSTEM,"Investigate raised-bed production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","ruler, plants, bed","height, spacing, moisture or harvest evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Use tools safely. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Raised Food Garden based on your measurements.
GM-205,Raised Food Garden,5,RAISED INVESTIGATION,"Investigate raised-bed production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","ruler, plants, bed","height, spacing, moisture or harvest evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Use tools safely. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Raised Food Garden based on your measurements.
GM-206,Raised Food Garden,6,EVIDENCE MISSION: GRAPH,"Investigate raised-bed production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","ruler, plants, bed","height, spacing, moisture or harvest evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Use tools safely. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Raised Food Garden based on your measurements.
GM-207,Raised Food Garden,7,DIAGNOSE THE SYSTEM,"Investigate raised-bed production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","ruler, plants, bed","height, spacing, moisture or harvest evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Use tools safely. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Raised Food Garden based on your measurements.
GM-208,Raised Food Garden,8,RAISED INVESTIGATION,"Investigate raised-bed production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","ruler, plants, bed","height, spacing, moisture or harvest evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Use tools safely. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Raised Food Garden based on your measurements.
GM-209,Raised Food Garden,9,EVIDENCE MISSION: IMPROVE,"Investigate raised-bed production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","ruler, plants, bed","height, spacing, moisture or harvest evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Use tools safely. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Raised Food Garden based on your measurements.
GM-210,Raised Food Garden,10,RECOMMEND THE SYSTEM,"Investigate raised-bed production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","ruler, plants, bed","height, spacing, moisture or harvest evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Use tools safely. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Raised Food Garden based on your measurements.
