ID,Level,Garden,Theme,Objective,Materials,DIY,Steps,Evidence,Challenge,Safety
FF-201,Primary 4-6,Raised Food Garden,Food Origin,"Investigate food origin in the Raised Food Garden using measurable evidence and explain how production decisions affect food quantity, quality or handling.","Journal, labels, ruler/tape, balance where available, clean containers, tally sheet, calculator, handwashing supplies.","Use locally available baskets, clean reused food-grade containers, handmade labels, paper process cards and simple balances/measuring vessels where suitable.","1. Frame a question about food origin. 2. Select samples. 3. Measure or classify evidence. 4. Record quantities and quality observations. 5. Trace the product through at least four farm-to-food stages. 6. Explain one risk, loss point or improvement.","Data table plus process sequence, calculation or evidence-based explanation.","Recommend one practical change that could improve quality, handling efficiency or reduce loss.","No tasting unless the school has separately approved a supervised food activity. Wash hands before and after handling produce. Use only clean, teacher-approved samples and containers. Teachers control knives, heat, electrical equipment, chemicals and any processing machinery."
FF-202,Primary 4-6,Raised Food Garden,Harvest Readiness,"Investigate harvest readiness in the Raised Food Garden using measurable evidence and explain how production decisions affect food quantity, quality or handling.","Journal, labels, ruler/tape, balance where available, clean containers, tally sheet, calculator, handwashing supplies.","Use locally available baskets, clean reused food-grade containers, handmade labels, paper process cards and simple balances/measuring vessels where suitable.","1. Frame a question about harvest readiness. 2. Select samples. 3. Measure or classify evidence. 4. Record quantities and quality observations. 5. Trace the product through at least four farm-to-food stages. 6. Explain one risk, loss point or improvement.","Data table plus process sequence, calculation or evidence-based explanation.","Recommend one practical change that could improve quality, handling efficiency or reduce loss.","No tasting unless the school has separately approved a supervised food activity. Wash hands before and after handling produce. Use only clean, teacher-approved samples and containers. Teachers control knives, heat, electrical equipment, chemicals and any processing machinery."
FF-203,Primary 4-6,Raised Food Garden,Safe Handling,"Investigate safe handling in the Raised Food Garden using measurable evidence and explain how production decisions affect food quantity, quality or handling.","Journal, labels, ruler/tape, balance where available, clean containers, tally sheet, calculator, handwashing supplies.","Use locally available baskets, clean reused food-grade containers, handmade labels, paper process cards and simple balances/measuring vessels where suitable.","1. Frame a question about safe handling. 2. Select samples. 3. Measure or classify evidence. 4. Record quantities and quality observations. 5. Trace the product through at least four farm-to-food stages. 6. Explain one risk, loss point or improvement.","Data table plus process sequence, calculation or evidence-based explanation.","Recommend one practical change that could improve quality, handling efficiency or reduce loss.","No tasting unless the school has separately approved a supervised food activity. Wash hands before and after handling produce. Use only clean, teacher-approved samples and containers. Teachers control knives, heat, electrical equipment, chemicals and any processing machinery."
FF-204,Primary 4-6,Raised Food Garden,Sorting & Quality,"Investigate sorting & quality in the Raised Food Garden using measurable evidence and explain how production decisions affect food quantity, quality or handling.","Journal, labels, ruler/tape, balance where available, clean containers, tally sheet, calculator, handwashing supplies.","Use locally available baskets, clean reused food-grade containers, handmade labels, paper process cards and simple balances/measuring vessels where suitable.","1. Frame a question about sorting & quality. 2. Select samples. 3. Measure or classify evidence. 4. Record quantities and quality observations. 5. Trace the product through at least four farm-to-food stages. 6. Explain one risk, loss point or improvement.","Data table plus process sequence, calculation or evidence-based explanation.","Recommend one practical change that could improve quality, handling efficiency or reduce loss.","No tasting unless the school has separately approved a supervised food activity. Wash hands before and after handling produce. Use only clean, teacher-approved samples and containers. Teachers control knives, heat, electrical equipment, chemicals and any processing machinery."
FF-205,Primary 4-6,Raised Food Garden,Farm-to-Food Journey,"Investigate farm-to-food journey in the Raised Food Garden using measurable evidence and explain how production decisions affect food quantity, quality or handling.","Journal, labels, ruler/tape, balance where available, clean containers, tally sheet, calculator, handwashing supplies.","Use locally available baskets, clean reused food-grade containers, handmade labels, paper process cards and simple balances/measuring vessels where suitable.","1. Frame a question about farm-to-food journey. 2. Select samples. 3. Measure or classify evidence. 4. Record quantities and quality observations. 5. Trace the product through at least four farm-to-food stages. 6. Explain one risk, loss point or improvement.","Data table plus process sequence, calculation or evidence-based explanation.","Recommend one practical change that could improve quality, handling efficiency or reduce loss.","No tasting unless the school has separately approved a supervised food activity. Wash hands before and after handling produce. Use only clean, teacher-approved samples and containers. Teachers control knives, heat, electrical equipment, chemicals and any processing machinery."
FF-206,Primary 4-6,Raised Food Garden,Measurement & Yield,"Investigate measurement & yield in the Raised Food Garden using measurable evidence and explain how production decisions affect food quantity, quality or handling.","Journal, labels, ruler/tape, balance where available, clean containers, tally sheet, calculator, handwashing supplies.","Use locally available baskets, clean reused food-grade containers, handmade labels, paper process cards and simple balances/measuring vessels where suitable.","1. Frame a question about measurement & yield. 2. Select samples. 3. Measure or classify evidence. 4. Record quantities and quality observations. 5. Trace the product through at least four farm-to-food stages. 6. Explain one risk, loss point or improvement.","Data table plus process sequence, calculation or evidence-based explanation.","Recommend one practical change that could improve quality, handling efficiency or reduce loss.","No tasting unless the school has separately approved a supervised food activity. Wash hands before and after handling produce. Use only clean, teacher-approved samples and containers. Teachers control knives, heat, electrical equipment, chemicals and any processing machinery."
FF-207,Primary 4-6,Raised Food Garden,Storage & Loss,"Investigate storage & loss in the Raised Food Garden using measurable evidence and explain how production decisions affect food quantity, quality or handling.","Journal, labels, ruler/tape, balance where available, clean containers, tally sheet, calculator, handwashing supplies.","Use locally available baskets, clean reused food-grade containers, handmade labels, paper process cards and simple balances/measuring vessels where suitable.","1. Frame a question about storage & loss. 2. Select samples. 3. Measure or classify evidence. 4. Record quantities and quality observations. 5. Trace the product through at least four farm-to-food stages. 6. Explain one risk, loss point or improvement.","Data table plus process sequence, calculation or evidence-based explanation.","Recommend one practical change that could improve quality, handling efficiency or reduce loss.","No tasting unless the school has separately approved a supervised food activity. Wash hands before and after handling produce. Use only clean, teacher-approved samples and containers. Teachers control knives, heat, electrical equipment, chemicals and any processing machinery."
FF-208,Primary 4-6,Raised Food Garden,Preparation Pathway,"Investigate preparation pathway in the Raised Food Garden using measurable evidence and explain how production decisions affect food quantity, quality or handling.","Journal, labels, ruler/tape, balance where available, clean containers, tally sheet, calculator, handwashing supplies.","Use locally available baskets, clean reused food-grade containers, handmade labels, paper process cards and simple balances/measuring vessels where suitable.","1. Frame a question about preparation pathway. 2. Select samples. 3. Measure or classify evidence. 4. Record quantities and quality observations. 5. Trace the product through at least four farm-to-food stages. 6. Explain one risk, loss point or improvement.","Data table plus process sequence, calculation or evidence-based explanation.","Recommend one practical change that could improve quality, handling efficiency or reduce loss.","No tasting unless the school has separately approved a supervised food activity. Wash hands before and after handling produce. Use only clean, teacher-approved samples and containers. Teachers control knives, heat, electrical equipment, chemicals and any processing machinery."
FF-209,Primary 4-6,Raised Food Garden,Food Choice & Literacy,"Investigate food choice & literacy in the Raised Food Garden using measurable evidence and explain how production decisions affect food quantity, quality or handling.","Journal, labels, ruler/tape, balance where available, clean containers, tally sheet, calculator, handwashing supplies.","Use locally available baskets, clean reused food-grade containers, handmade labels, paper process cards and simple balances/measuring vessels where suitable.","1. Frame a question about food choice & literacy. 2. Select samples. 3. Measure or classify evidence. 4. Record quantities and quality observations. 5. Trace the product through at least four farm-to-food stages. 6. Explain one risk, loss point or improvement.","Data table plus process sequence, calculation or evidence-based explanation.","Recommend one practical change that could improve quality, handling efficiency or reduce loss.","No tasting unless the school has separately approved a supervised food activity. Wash hands before and after handling produce. Use only clean, teacher-approved samples and containers. Teachers control knives, heat, electrical equipment, chemicals and any processing machinery."
FF-210,Primary 4-6,Raised Food Garden,Waste-to-Resource,"Investigate waste-to-resource in the Raised Food Garden using measurable evidence and explain how production decisions affect food quantity, quality or handling.","Journal, labels, ruler/tape, balance where available, clean containers, tally sheet, calculator, handwashing supplies.","Use locally available baskets, clean reused food-grade containers, handmade labels, paper process cards and simple balances/measuring vessels where suitable.","1. Frame a question about waste-to-resource. 2. Select samples. 3. Measure or classify evidence. 4. Record quantities and quality observations. 5. Trace the product through at least four farm-to-food stages. 6. Explain one risk, loss point or improvement.","Data table plus process sequence, calculation or evidence-based explanation.","Recommend one practical change that could improve quality, handling efficiency or reduce loss.","No tasting unless the school has separately approved a supervised food activity. Wash hands before and after handling produce. Use only clean, teacher-approved samples and containers. Teachers control knives, heat, electrical equipment, chemicals and any processing machinery."
