Level,Garden_No,Garden,Practical_Card,Garden_Mission,Assessment,Ingredient_Lab,Farm_to_Food,Food_Smart_Challenge,Teacher_Verification,Date
Nursery,1,Alphabet Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Nursery,2,Number Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Nursery,3,Geometry Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Nursery,4,Leaf Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Nursery,5,Butterfly Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Nursery,6,ReBottle Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Nursery,7,MicroGrow Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Nursery,8,Mini Table Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Nursery,9,Sack Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Nursery,10,Discovery Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Primary 1-3,1,Alphabet Food Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Primary 1-3,2,Number Food Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Primary 1-3,3,Geometry Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Primary 1-3,4,Leaf Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Primary 1-3,5,Pollinator Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Primary 1-3,6,Raised Food Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Primary 1-3,7,ReBottle Wall Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Primary 1-3,8,Sack GrowBag Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Primary 1-3,9,Ground Production Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Primary 1-3,10,Discovery Production Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Primary 4-6,1,Raised Food Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Primary 4-6,2,Geometry Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Primary 4-6,3,Grid Experiment Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Primary 4-6,4,Keyhole Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Primary 4-6,5,Compost Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Primary 4-6,6,Gravity Drip Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Primary 4-6,7,Vertical Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Primary 4-6,8,Crop Rotation Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Primary 4-6,9,Water-Smart Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
Primary 4-6,10,Intro Soilless Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
JSS 1-3,1,Production Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
JSS 1-3,2,Raised Systems Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
JSS 1-3,3,Grid Experiment Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
JSS 1-3,4,Crop Rotation Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
JSS 1-3,5,Intercropping Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
JSS 1-3,6,Water-Smart Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
JSS 1-3,7,Compost & Soil Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
JSS 1-3,8,Soilless Learning Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
JSS 1-3,9,Sensor-Ready Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
JSS 1-3,10,Applied Systems Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
SSS 1-3,1,Advanced Production Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
SSS 1-3,2,Crop Trial Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
SSS 1-3,3,Controlled Experiment Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
SSS 1-3,4,Irrigation Engineering Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
SSS 1-3,5,Water Productivity Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
SSS 1-3,6,Advanced Soilless Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
SSS 1-3,7,Sensor & Monitoring Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
SSS 1-3,8,Smart Irrigation Demonstrator,PA-,GM-,AQ-,IL-,FF-,FSC-,,
SSS 1-3,9,Research & Design Garden,PA-,GM-,AQ-,IL-,FF-,FSC-,,
SSS 1-3,10,Integrated Food Systems Laboratory,PA-,GM-,AQ-,IL-,FF-,FSC-,,
