ID,Level,Domain,Context,Scenario,Task,Evidence,Success_Criteria,Extension,Safety
FSC-201,Primary 4-6,Know the Ingredient,School Garden,A school team must improve a school garden. The team asks you to solve a know the ingredient problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-202,Primary 4-6,Build a Food Journey,Classroom Food Table,A school team must improve a classroom food table. The team asks you to solve a build a food journey problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-203,Primary 4-6,Make a Food Choice,Harvest Basket,A school team must improve a harvest basket. The team asks you to solve a make a food choice problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-204,Primary 4-6,Read the Label,Ingredient Display,A school team must improve a ingredient display. The team asks you to solve a read the label problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-205,Primary 4-6,Plan a Meal,School Lunch Scenario,A school team must improve a school lunch scenario. The team asks you to solve a plan a meal problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-206,Primary 4-6,Use Water Wisely,Water Station,A school team must improve a water station. The team asks you to solve a use water wisely problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-207,Primary 4-6,Reduce Food Waste,Storage Shelf,A school team must improve a storage shelf. The team asks you to solve a reduce food waste problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-208,Primary 4-6,Think Seasonally,Market Basket,A school team must improve a market basket. The team asks you to solve a think seasonally problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-209,Primary 4-6,Store & Handle Responsibly,Food Journey Map,A school team must improve a food journey map. The team asks you to solve a store & handle responsibly problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-210,Primary 4-6,Solve a Food-System Challenge,School Food-Waste Station,A school team must improve a school food-waste station. The team asks you to solve a solve a food-system challenge problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
