ID,Level,Ingredient,Plant_Part,Theme,Objective,Materials,DIY,Method,Evidence,Questions,Safety
IL-201,Primary 4-6,Hibiscus,Calyx,Identity & Plant Part,"Investigate identity & plant part in hibiscus using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-202,Primary 4-6,Hibiscus,Calyx,External Structure,"Investigate external structure in hibiscus using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-203,Primary 4-6,Hibiscus,Calyx,Internal Structure,"Investigate internal structure in hibiscus using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-204,Primary 4-6,Hibiscus,Calyx,Colour & Texture,"Investigate colour & texture in hibiscus using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-205,Primary 4-6,Hibiscus,Calyx,Mass & Size,"Investigate mass & size in hibiscus using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-206,Primary 4-6,Hibiscus,Calyx,Water/Change Observation,"Investigate water/change observation in hibiscus using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-207,Primary 4-6,Hibiscus,Calyx,Sorting & Quality,"Investigate sorting & quality in hibiscus using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-208,Primary 4-6,Hibiscus,Calyx,Post-Harvest Change,"Investigate post-harvest change in hibiscus using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-209,Primary 4-6,Hibiscus,Calyx,Ingredient-to-Food Pathway,"Investigate ingredient-to-food pathway in hibiscus using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-210,Primary 4-6,Hibiscus,Calyx,Investigation Challenge,"Investigate investigation challenge in hibiscus using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
