Garden_ID,Check_Item,Status,Finding,Corrective_Action,Owner,Verified_Date
GD-01,Dimensions/set-out verified,,,,,
GD-01,Paths clear and stable,,,,,
GD-01,Beds/containers stable,,,,,
GD-01,Vertical structures anchored,,,,,
GD-01,Tank/water point stable,,,,,
GD-01,Irrigation tested,,,,,
GD-01,Drainage works,,,,,
GD-01,No sharp/protruding hazards,,,,,
GD-01,Growing medium acceptable,,,,,
GD-01,Labels installed,,,,,
GD-01,Tool storage ready,,,,,
GD-01,Learning station usable,,,,,
GD-01,Accessibility adaptations complete,,,,,
GD-01,Electrical/sensor enclosure protected where applicable,,,,,
GD-01,Final safety inspection complete,,,,,
GD-02,Dimensions/set-out verified,,,,,
GD-02,Paths clear and stable,,,,,
GD-02,Beds/containers stable,,,,,
GD-02,Vertical structures anchored,,,,,
GD-02,Tank/water point stable,,,,,
GD-02,Irrigation tested,,,,,
GD-02,Drainage works,,,,,
GD-02,No sharp/protruding hazards,,,,,
GD-02,Growing medium acceptable,,,,,
GD-02,Labels installed,,,,,
GD-02,Tool storage ready,,,,,
GD-02,Learning station usable,,,,,
GD-02,Accessibility adaptations complete,,,,,
GD-02,Electrical/sensor enclosure protected where applicable,,,,,
GD-02,Final safety inspection complete,,,,,
GD-03,Dimensions/set-out verified,,,,,
GD-03,Paths clear and stable,,,,,
GD-03,Beds/containers stable,,,,,
GD-03,Vertical structures anchored,,,,,
GD-03,Tank/water point stable,,,,,
GD-03,Irrigation tested,,,,,
GD-03,Drainage works,,,,,
GD-03,No sharp/protruding hazards,,,,,
GD-03,Growing medium acceptable,,,,,
GD-03,Labels installed,,,,,
GD-03,Tool storage ready,,,,,
GD-03,Learning station usable,,,,,
GD-03,Accessibility adaptations complete,,,,,
GD-03,Electrical/sensor enclosure protected where applicable,,,,,
GD-03,Final safety inspection complete,,,,,
GD-04,Dimensions/set-out verified,,,,,
GD-04,Paths clear and stable,,,,,
GD-04,Beds/containers stable,,,,,
GD-04,Vertical structures anchored,,,,,
GD-04,Tank/water point stable,,,,,
GD-04,Irrigation tested,,,,,
GD-04,Drainage works,,,,,
GD-04,No sharp/protruding hazards,,,,,
GD-04,Growing medium acceptable,,,,,
GD-04,Labels installed,,,,,
GD-04,Tool storage ready,,,,,
GD-04,Learning station usable,,,,,
GD-04,Accessibility adaptations complete,,,,,
GD-04,Electrical/sensor enclosure protected where applicable,,,,,
GD-04,Final safety inspection complete,,,,,
GD-05,Dimensions/set-out verified,,,,,
GD-05,Paths clear and stable,,,,,
GD-05,Beds/containers stable,,,,,
GD-05,Vertical structures anchored,,,,,
GD-05,Tank/water point stable,,,,,
GD-05,Irrigation tested,,,,,
GD-05,Drainage works,,,,,
GD-05,No sharp/protruding hazards,,,,,
GD-05,Growing medium acceptable,,,,,
GD-05,Labels installed,,,,,
GD-05,Tool storage ready,,,,,
GD-05,Learning station usable,,,,,
GD-05,Accessibility adaptations complete,,,,,
GD-05,Electrical/sensor enclosure protected where applicable,,,,,
GD-05,Final safety inspection complete,,,,,
GD-06,Dimensions/set-out verified,,,,,
GD-06,Paths clear and stable,,,,,
GD-06,Beds/containers stable,,,,,
GD-06,Vertical structures anchored,,,,,
GD-06,Tank/water point stable,,,,,
GD-06,Irrigation tested,,,,,
GD-06,Drainage works,,,,,
GD-06,No sharp/protruding hazards,,,,,
GD-06,Growing medium acceptable,,,,,
GD-06,Labels installed,,,,,
GD-06,Tool storage ready,,,,,
GD-06,Learning station usable,,,,,
GD-06,Accessibility adaptations complete,,,,,
GD-06,Electrical/sensor enclosure protected where applicable,,,,,
GD-06,Final safety inspection complete,,,,,
GD-07,Dimensions/set-out verified,,,,,
GD-07,Paths clear and stable,,,,,
GD-07,Beds/containers stable,,,,,
GD-07,Vertical structures anchored,,,,,
GD-07,Tank/water point stable,,,,,
GD-07,Irrigation tested,,,,,
GD-07,Drainage works,,,,,
GD-07,No sharp/protruding hazards,,,,,
GD-07,Growing medium acceptable,,,,,
GD-07,Labels installed,,,,,
GD-07,Tool storage ready,,,,,
GD-07,Learning station usable,,,,,
GD-07,Accessibility adaptations complete,,,,,
GD-07,Electrical/sensor enclosure protected where applicable,,,,,
GD-07,Final safety inspection complete,,,,,
GD-08,Dimensions/set-out verified,,,,,
GD-08,Paths clear and stable,,,,,
GD-08,Beds/containers stable,,,,,
GD-08,Vertical structures anchored,,,,,
GD-08,Tank/water point stable,,,,,
GD-08,Irrigation tested,,,,,
GD-08,Drainage works,,,,,
GD-08,No sharp/protruding hazards,,,,,
GD-08,Growing medium acceptable,,,,,
GD-08,Labels installed,,,,,
GD-08,Tool storage ready,,,,,
GD-08,Learning station usable,,,,,
GD-08,Accessibility adaptations complete,,,,,
GD-08,Electrical/sensor enclosure protected where applicable,,,,,
GD-08,Final safety inspection complete,,,,,
GD-09,Dimensions/set-out verified,,,,,
GD-09,Paths clear and stable,,,,,
GD-09,Beds/containers stable,,,,,
GD-09,Vertical structures anchored,,,,,
GD-09,Tank/water point stable,,,,,
GD-09,Irrigation tested,,,,,
GD-09,Drainage works,,,,,
GD-09,No sharp/protruding hazards,,,,,
GD-09,Growing medium acceptable,,,,,
GD-09,Labels installed,,,,,
GD-09,Tool storage ready,,,,,
GD-09,Learning station usable,,,,,
GD-09,Accessibility adaptations complete,,,,,
GD-09,Electrical/sensor enclosure protected where applicable,,,,,
GD-09,Final safety inspection complete,,,,,
GD-10,Dimensions/set-out verified,,,,,
GD-10,Paths clear and stable,,,,,
GD-10,Beds/containers stable,,,,,
GD-10,Vertical structures anchored,,,,,
GD-10,Tank/water point stable,,,,,
GD-10,Irrigation tested,,,,,
GD-10,Drainage works,,,,,
GD-10,No sharp/protruding hazards,,,,,
GD-10,Growing medium acceptable,,,,,
GD-10,Labels installed,,,,,
GD-10,Tool storage ready,,,,,
GD-10,Learning station usable,,,,,
GD-10,Accessibility adaptations complete,,,,,
GD-10,Electrical/sensor enclosure protected where applicable,,,,,
GD-10,Final safety inspection complete,,,,,
GD-11,Dimensions/set-out verified,,,,,
GD-11,Paths clear and stable,,,,,
GD-11,Beds/containers stable,,,,,
GD-11,Vertical structures anchored,,,,,
GD-11,Tank/water point stable,,,,,
GD-11,Irrigation tested,,,,,
GD-11,Drainage works,,,,,
GD-11,No sharp/protruding hazards,,,,,
GD-11,Growing medium acceptable,,,,,
GD-11,Labels installed,,,,,
GD-11,Tool storage ready,,,,,
GD-11,Learning station usable,,,,,
GD-11,Accessibility adaptations complete,,,,,
GD-11,Electrical/sensor enclosure protected where applicable,,,,,
GD-11,Final safety inspection complete,,,,,
GD-12,Dimensions/set-out verified,,,,,
GD-12,Paths clear and stable,,,,,
GD-12,Beds/containers stable,,,,,
GD-12,Vertical structures anchored,,,,,
GD-12,Tank/water point stable,,,,,
GD-12,Irrigation tested,,,,,
GD-12,Drainage works,,,,,
GD-12,No sharp/protruding hazards,,,,,
GD-12,Growing medium acceptable,,,,,
GD-12,Labels installed,,,,,
GD-12,Tool storage ready,,,,,
GD-12,Learning station usable,,,,,
GD-12,Accessibility adaptations complete,,,,,
GD-12,Electrical/sensor enclosure protected where applicable,,,,,
GD-12,Final safety inspection complete,,,,,
GD-13,Dimensions/set-out verified,,,,,
GD-13,Paths clear and stable,,,,,
GD-13,Beds/containers stable,,,,,
GD-13,Vertical structures anchored,,,,,
GD-13,Tank/water point stable,,,,,
