Garden_ID,Level,Garden_No,Garden_Name,Nominal_Footprint,Nominal_Area,Complexity,Indicative_Cost_Band,Expected_Infrastructure_Life,Water_Approach,Core_Components,Preliminary_BOM,DIY_Local_Option,Safety_Commissioning,Installation_Sequence
GD-01,Nursery,1,Alphabet Garden,3 m x 4 m,12 m2,Low,Very low,1-2 seasons,Hand watering / small cans,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; durable learning markers; clearly separated planting pockets,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-02,Nursery,2,Number Garden,3 m x 4 m,12 m2,Low,Very low,1-2 seasons,Hand watering / small cans,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; durable learning markers; clearly separated planting pockets,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-03,Nursery,3,Geometry Garden,3 m x 4 m,12 m2,Low,Very low,1-2 seasons,Hand watering / small cans,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; durable learning markers; clearly separated planting pockets,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-04,Nursery,4,Leaf Garden,3 m x 4 m,12 m2,Low,Very low,1-2 seasons,Hand watering / small cans,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-05,Nursery,5,Butterfly Garden,3 m x 4 m,12 m2,Low,Very low,1-2 seasons,Hand watering / small cans,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; flowering plant zone; observation boundary; no-spray learning zone,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-06,Nursery,6,ReBottle Garden,3 m x 4 m,12 m2,Low,Very low,1-2 seasons,Hand watering / small cans,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; clean reused food-safe bottles; secure support/rail; drainage holes,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-07,Nursery,7,MicroGrow Garden,3 m x 4 m,12 m2,Low,Very low,1-2 seasons,Hand watering / small cans,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; stable child-height table/bench; small trays/containers,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-08,Nursery,8,Mini Table Garden,3 m x 4 m,12 m2,Low,Very low,1-2 seasons,Hand watering / small cans,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; stable child-height table/bench; small trays/containers,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-09,Nursery,9,Sack Garden,3 m x 4 m,12 m2,Low,Very low,1-2 seasons,Hand watering / small cans,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; stable grow sacks/bags; spacing markers; drainage base,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-10,Nursery,10,Discovery Garden,3 m x 4 m,12 m2,Low,Very low,1-2 seasons,Hand watering / small cans,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
