Garden_ID,Garden_Name,BOM_Category,Item,Specification,Quantity,Unit,Unit_Cost,Total_Cost,Supplier,Notes
GD-01,Alphabet Garden,Site preparation,,,,,,,,
GD-01,Alphabet Garden,Structure/bed,,,,,,,,
GD-01,Alphabet Garden,Water/irrigation,,,,,,,,
GD-01,Alphabet Garden,Growing medium/input,,,,,,,,
GD-01,Alphabet Garden,Planting material,,,,,,,,
GD-01,Alphabet Garden,Tools,,,,,,,,
GD-01,Alphabet Garden,Measurement,,,,,,,,
GD-01,Alphabet Garden,Learning signage,,,,,,,,
GD-01,Alphabet Garden,Safety/storage,,,,,,,,
GD-02,Number Garden,Site preparation,,,,,,,,
GD-02,Number Garden,Structure/bed,,,,,,,,
GD-02,Number Garden,Water/irrigation,,,,,,,,
GD-02,Number Garden,Growing medium/input,,,,,,,,
GD-02,Number Garden,Planting material,,,,,,,,
GD-02,Number Garden,Tools,,,,,,,,
GD-02,Number Garden,Measurement,,,,,,,,
GD-02,Number Garden,Learning signage,,,,,,,,
GD-02,Number Garden,Safety/storage,,,,,,,,
GD-03,Geometry Garden,Site preparation,,,,,,,,
GD-03,Geometry Garden,Structure/bed,,,,,,,,
GD-03,Geometry Garden,Water/irrigation,,,,,,,,
GD-03,Geometry Garden,Growing medium/input,,,,,,,,
GD-03,Geometry Garden,Planting material,,,,,,,,
GD-03,Geometry Garden,Tools,,,,,,,,
GD-03,Geometry Garden,Measurement,,,,,,,,
GD-03,Geometry Garden,Learning signage,,,,,,,,
GD-03,Geometry Garden,Safety/storage,,,,,,,,
GD-04,Leaf Garden,Site preparation,,,,,,,,
GD-04,Leaf Garden,Structure/bed,,,,,,,,
GD-04,Leaf Garden,Water/irrigation,,,,,,,,
GD-04,Leaf Garden,Growing medium/input,,,,,,,,
GD-04,Leaf Garden,Planting material,,,,,,,,
GD-04,Leaf Garden,Tools,,,,,,,,
GD-04,Leaf Garden,Measurement,,,,,,,,
GD-04,Leaf Garden,Learning signage,,,,,,,,
