ID,Level,Term,Category,Definition,Example_or_Prompt,Garden_Link
NV-0001,Nursery N1-N3,Seed,Plant & Production,The plant structure that can begin a new plant.,Teacher: 'Can you find or show seed in our garden?',Alphabet Garden
NV-0002,Nursery N1-N3,Root,Plant & Production,The plant part that anchors the plant and takes up water and minerals.,Teacher: 'Can you find or show root in our garden?',Number Garden
NV-0003,Nursery N1-N3,Stem,Plant & Production,The plant part that supports leaves and transports materials.,Teacher: 'Can you find or show stem in our garden?',Geometry Garden
NV-0004,Nursery N1-N3,Leaf,Plant & Production,A plant organ that captures light and exchanges gases.,Teacher: 'Can you find or show leaf in our garden?',Leaf Garden
NV-0005,Nursery N1-N3,Flower,Plant & Production,The reproductive structure of many plants.,Teacher: 'Can you find or show flower in our garden?',Butterfly Garden
NV-0006,Nursery N1-N3,Fruit,Plant & Production,A plant structure that develops from a flower and contains or protects seeds.,Teacher: 'Can you find or show fruit in our garden?',ReBottle Garden
NV-0007,Nursery N1-N3,Soil,Soil / Growing Medium,"The natural material in which many plants grow, containing minerals, organic matter, water and air.",Teacher: 'Can you find or show soil in our garden?',MicroGrow Garden
NV-0008,Nursery N1-N3,Water,Water & Irrigation,A resource plants need for growth and transport of materials.,Teacher: 'Can you find or show water in our garden?',Mini Table Garden
NV-0009,Nursery N1-N3,Sunlight,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage sunlight at the Nursery N1-N3 level.",Teacher: 'Can you find or show sunlight in our garden?',Sack Garden
NV-0010,Nursery N1-N3,Plant,Plant & Production,"A GrowMeal concept used to observe, describe, measure, analyze or manage plant at the Nursery N1-N3 level.",Teacher: 'Can you find or show plant in our garden?',Discovery Garden
NV-0011,Nursery N1-N3,Garden,Garden Foundations,A planned growing or learning space associated with garden.,Teacher: 'Can you find or show garden in our garden?',Alphabet Garden
NV-0012,Nursery N1-N3,Bed,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage bed at the Nursery N1-N3 level.",Teacher: 'Can you find or show bed in our garden?',Number Garden
NV-0013,Nursery N1-N3,Pot,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage pot at the Nursery N1-N3 level.",Teacher: 'Can you find or show pot in our garden?',Geometry Garden
NV-0014,Nursery N1-N3,Sack,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage sack at the Nursery N1-N3 level.",Teacher: 'Can you find or show sack in our garden?',Leaf Garden
NV-0015,Nursery N1-N3,Bottle,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage bottle at the Nursery N1-N3 level.",Teacher: 'Can you find or show bottle in our garden?',Butterfly Garden
NV-0016,Nursery N1-N3,Table,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage table at the Nursery N1-N3 level.",Teacher: 'Can you find or show table in our garden?',ReBottle Garden
NV-0017,Nursery N1-N3,Path,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage path at the Nursery N1-N3 level.",Teacher: 'Can you find or show path in our garden?',MicroGrow Garden
NV-0018,Nursery N1-N3,Tool,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage tool at the Nursery N1-N3 level.",Teacher: 'Can you find or show tool in our garden?',Mini Table Garden
NV-0019,Nursery N1-N3,Hand,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage hand at the Nursery N1-N3 level.",Teacher: 'Can you find or show hand in our garden?',Sack Garden
NV-0020,Nursery N1-N3,Glove,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage glove at the Nursery N1-N3 level.",Teacher: 'Can you find or show glove in our garden?',Discovery Garden
NV-0021,Nursery N1-N3,Green,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage green at the Nursery N1-N3 level.",Teacher: 'Can you find or show green in our garden?',Alphabet Garden
NV-0022,Nursery N1-N3,Yellow,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage yellow at the Nursery N1-N3 level.",Teacher: 'Can you find or show yellow in our garden?',Number Garden
NV-0023,Nursery N1-N3,Red,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage red at the Nursery N1-N3 level.",Teacher: 'Can you find or show red in our garden?',Geometry Garden
NV-0024,Nursery N1-N3,Brown,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage brown at the Nursery N1-N3 level.",Teacher: 'Can you find or show brown in our garden?',Leaf Garden
NV-0025,Nursery N1-N3,Wet,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage wet at the Nursery N1-N3 level.",Teacher: 'Can you find or show wet in our garden?',Butterfly Garden
NV-0026,Nursery N1-N3,Dry,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage dry at the Nursery N1-N3 level.",Teacher: 'Can you find or show dry in our garden?',ReBottle Garden
NV-0027,Nursery N1-N3,Soft,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage soft at the Nursery N1-N3 level.",Teacher: 'Can you find or show soft in our garden?',MicroGrow Garden
NV-0028,Nursery N1-N3,Hard,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage hard at the Nursery N1-N3 level.",Teacher: 'Can you find or show hard in our garden?',Mini Table Garden
NV-0029,Nursery N1-N3,Smooth,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage smooth at the Nursery N1-N3 level.",Teacher: 'Can you find or show smooth in our garden?',Sack Garden
NV-0030,Nursery N1-N3,Rough,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage rough at the Nursery N1-N3 level.",Teacher: 'Can you find or show rough in our garden?',Discovery Garden
NV-0031,Nursery N1-N3,Small,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage small at the Nursery N1-N3 level.",Teacher: 'Can you find or show small in our garden?',Alphabet Garden
NV-0032,Nursery N1-N3,Big,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage big at the Nursery N1-N3 level.",Teacher: 'Can you find or show big in our garden?',Number Garden
NV-0033,Nursery N1-N3,Short,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage short at the Nursery N1-N3 level.",Teacher: 'Can you find or show short in our garden?',Geometry Garden
NV-0034,Nursery N1-N3,Tall,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage tall at the Nursery N1-N3 level.",Teacher: 'Can you find or show tall in our garden?',Leaf Garden
NV-0035,Nursery N1-N3,Round,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage round at the Nursery N1-N3 level.",Teacher: 'Can you find or show round in our garden?',Butterfly Garden
NV-0036,Nursery N1-N3,Straight,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage straight at the Nursery N1-N3 level.",Teacher: 'Can you find or show straight in our garden?',ReBottle Garden
NV-0037,Nursery N1-N3,Curved,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage curved at the Nursery N1-N3 level.",Teacher: 'Can you find or show curved in our garden?',MicroGrow Garden
NV-0038,Nursery N1-N3,Wide,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage wide at the Nursery N1-N3 level.",Teacher: 'Can you find or show wide in our garden?',Mini Table Garden
NV-0039,Nursery N1-N3,Narrow,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage narrow at the Nursery N1-N3 level.",Teacher: 'Can you find or show narrow in our garden?',Sack Garden
NV-0040,Nursery N1-N3,Same,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage same at the Nursery N1-N3 level.",Teacher: 'Can you find or show same in our garden?',Discovery Garden
NV-0041,Nursery N1-N3,Different,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage different at the Nursery N1-N3 level.",Teacher: 'Can you find or show different in our garden?',Alphabet Garden
NV-0042,Nursery N1-N3,One,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage one at the Nursery N1-N3 level.",Teacher: 'Can you find or show one in our garden?',Number Garden
NV-0043,Nursery N1-N3,Two,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage two at the Nursery N1-N3 level.",Teacher: 'Can you find or show two in our garden?',Geometry Garden
NV-0044,Nursery N1-N3,Three,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage three at the Nursery N1-N3 level.",Teacher: 'Can you find or show three in our garden?',Leaf Garden
NV-0045,Nursery N1-N3,Four,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage four at the Nursery N1-N3 level.",Teacher: 'Can you find or show four in our garden?',Butterfly Garden
NV-0046,Nursery N1-N3,Five,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage five at the Nursery N1-N3 level.",Teacher: 'Can you find or show five in our garden?',ReBottle Garden
NV-0047,Nursery N1-N3,Six,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage six at the Nursery N1-N3 level.",Teacher: 'Can you find or show six in our garden?',MicroGrow Garden
NV-0048,Nursery N1-N3,Seven,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage seven at the Nursery N1-N3 level.",Teacher: 'Can you find or show seven in our garden?',Mini Table Garden
NV-0049,Nursery N1-N3,Eight,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage eight at the Nursery N1-N3 level.",Teacher: 'Can you find or show eight in our garden?',Sack Garden
NV-0050,Nursery N1-N3,Nine,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage nine at the Nursery N1-N3 level.",Teacher: 'Can you find or show nine in our garden?',Discovery Garden
NV-0051,Nursery N1-N3,Ten,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage ten at the Nursery N1-N3 level.",Teacher: 'Can you find or show ten in our garden?',Alphabet Garden
NV-0052,Nursery N1-N3,Count,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage count at the Nursery N1-N3 level.",Teacher: 'Can you find or show count in our garden?',Number Garden
NV-0053,Nursery N1-N3,Match,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage match at the Nursery N1-N3 level.",Teacher: 'Can you find or show match in our garden?',Geometry Garden
NV-0054,Nursery N1-N3,Sort,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage sort at the Nursery N1-N3 level.",Teacher: 'Can you find or show sort in our garden?',Leaf Garden
NV-0055,Nursery N1-N3,Find,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage find at the Nursery N1-N3 level.",Teacher: 'Can you find or show find in our garden?',Butterfly Garden
NV-0056,Nursery N1-N3,Look,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage look at the Nursery N1-N3 level.",Teacher: 'Can you find or show look in our garden?',ReBottle Garden
NV-0057,Nursery N1-N3,Touch,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage touch at the Nursery N1-N3 level.",Teacher: 'Can you find or show touch in our garden?',MicroGrow Garden
NV-0058,Nursery N1-N3,Draw,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage draw at the Nursery N1-N3 level.",Teacher: 'Can you find or show draw in our garden?',Mini Table Garden
NV-0059,Nursery N1-N3,Say,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage say at the Nursery N1-N3 level.",Teacher: 'Can you find or show say in our garden?',Sack Garden
NV-0060,Nursery N1-N3,Care,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage care at the Nursery N1-N3 level.",Teacher: 'Can you find or show care in our garden?',Discovery Garden
NV-0061,Nursery N1-N3,Grow,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage grow at the Nursery N1-N3 level.",Teacher: 'Can you find or show grow in our garden?',Alphabet Garden
NV-0062,Nursery N1-N3,Sprout,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage sprout at the Nursery N1-N3 level.",Teacher: 'Can you find or show sprout in our garden?',Number Garden
NV-0063,Nursery N1-N3,Seedling,Plant & Production,"A GrowMeal concept used to observe, describe, measure, analyze or manage seedling at the Nursery N1-N3 level.",Teacher: 'Can you find or show seedling in our garden?',Geometry Garden
NV-0064,Nursery N1-N3,Bud,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage bud at the Nursery N1-N3 level.",Teacher: 'Can you find or show bud in our garden?',Leaf Garden
NV-0065,Nursery N1-N3,Petal,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage petal at the Nursery N1-N3 level.",Teacher: 'Can you find or show petal in our garden?',Butterfly Garden
NV-0066,Nursery N1-N3,Vein,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage vein at the Nursery N1-N3 level.",Teacher: 'Can you find or show vein in our garden?',ReBottle Garden
NV-0067,Nursery N1-N3,Edge,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage edge at the Nursery N1-N3 level.",Teacher: 'Can you find or show edge in our garden?',MicroGrow Garden
NV-0068,Nursery N1-N3,Shape,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage shape at the Nursery N1-N3 level.",Teacher: 'Can you find or show shape in our garden?',Mini Table Garden
NV-0069,Nursery N1-N3,Circle,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage circle at the Nursery N1-N3 level.",Teacher: 'Can you find or show circle in our garden?',Sack Garden
NV-0070,Nursery N1-N3,Square,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage square at the Nursery N1-N3 level.",Teacher: 'Can you find or show square in our garden?',Discovery Garden
NV-0071,Nursery N1-N3,Triangle,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage triangle at the Nursery N1-N3 level.",Teacher: 'Can you find or show triangle in our garden?',Alphabet Garden
NV-0072,Nursery N1-N3,Line,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage line at the Nursery N1-N3 level.",Teacher: 'Can you find or show line in our garden?',Number Garden
NV-0073,Nursery N1-N3,Corner,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage corner at the Nursery N1-N3 level.",Teacher: 'Can you find or show corner in our garden?',Geometry Garden
