ID,Level,Garden,Theme,Objective,Materials,DIY,Steps,Evidence,Challenge,Safety
FF-001,Nursery,Alphabet Garden,Food Origin,"Help children connect the Alphabet Garden to the idea of food origin through safe observation, matching, sorting, drawing and talk.","Picture cards, clean produce examples where approved, baskets/trays, crayons, labels, handwashing supplies.","Use locally available baskets, clean reused food-grade containers, handmade labels, paper process cards and simple balances/measuring vessels where suitable.","1. Show a garden or food example. 2. Name where it comes from. 3. Let children match, count, sort or draw. 4. Demonstrate clean hands and gentle handling. 5. Ask children to tell one step from garden to food.","Correct match, simple count/sort, drawing or oral explanation.",Can the learner show what happens before and after the selected step?,"No tasting unless the school has separately approved a supervised food activity. Wash hands before and after handling produce. Use only clean, teacher-approved samples and containers. Teachers control knives, heat, electrical equipment, chemicals and any processing machinery."
FF-002,Nursery,Alphabet Garden,Harvest Readiness,"Help children connect the Alphabet Garden to the idea of harvest readiness through safe observation, matching, sorting, drawing and talk.","Picture cards, clean produce examples where approved, baskets/trays, crayons, labels, handwashing supplies.","Use locally available baskets, clean reused food-grade containers, handmade labels, paper process cards and simple balances/measuring vessels where suitable.","1. Show a garden or food example. 2. Name where it comes from. 3. Let children match, count, sort or draw. 4. Demonstrate clean hands and gentle handling. 5. Ask children to tell one step from garden to food.","Correct match, simple count/sort, drawing or oral explanation.",Can the learner show what happens before and after the selected step?,"No tasting unless the school has separately approved a supervised food activity. Wash hands before and after handling produce. Use only clean, teacher-approved samples and containers. Teachers control knives, heat, electrical equipment, chemicals and any processing machinery."
FF-003,Nursery,Alphabet Garden,Safe Handling,"Help children connect the Alphabet Garden to the idea of safe handling through safe observation, matching, sorting, drawing and talk.","Picture cards, clean produce examples where approved, baskets/trays, crayons, labels, handwashing supplies.","Use locally available baskets, clean reused food-grade containers, handmade labels, paper process cards and simple balances/measuring vessels where suitable.","1. Show a garden or food example. 2. Name where it comes from. 3. Let children match, count, sort or draw. 4. Demonstrate clean hands and gentle handling. 5. Ask children to tell one step from garden to food.","Correct match, simple count/sort, drawing or oral explanation.",Can the learner show what happens before and after the selected step?,"No tasting unless the school has separately approved a supervised food activity. Wash hands before and after handling produce. Use only clean, teacher-approved samples and containers. Teachers control knives, heat, electrical equipment, chemicals and any processing machinery."
FF-004,Nursery,Alphabet Garden,Sorting & Quality,"Help children connect the Alphabet Garden to the idea of sorting & quality through safe observation, matching, sorting, drawing and talk.","Picture cards, clean produce examples where approved, baskets/trays, crayons, labels, handwashing supplies.","Use locally available baskets, clean reused food-grade containers, handmade labels, paper process cards and simple balances/measuring vessels where suitable.","1. Show a garden or food example. 2. Name where it comes from. 3. Let children match, count, sort or draw. 4. Demonstrate clean hands and gentle handling. 5. Ask children to tell one step from garden to food.","Correct match, simple count/sort, drawing or oral explanation.",Can the learner show what happens before and after the selected step?,"No tasting unless the school has separately approved a supervised food activity. Wash hands before and after handling produce. Use only clean, teacher-approved samples and containers. Teachers control knives, heat, electrical equipment, chemicals and any processing machinery."
FF-005,Nursery,Alphabet Garden,Farm-to-Food Journey,"Help children connect the Alphabet Garden to the idea of farm-to-food journey through safe observation, matching, sorting, drawing and talk.","Picture cards, clean produce examples where approved, baskets/trays, crayons, labels, handwashing supplies.","Use locally available baskets, clean reused food-grade containers, handmade labels, paper process cards and simple balances/measuring vessels where suitable.","1. Show a garden or food example. 2. Name where it comes from. 3. Let children match, count, sort or draw. 4. Demonstrate clean hands and gentle handling. 5. Ask children to tell one step from garden to food.","Correct match, simple count/sort, drawing or oral explanation.",Can the learner show what happens before and after the selected step?,"No tasting unless the school has separately approved a supervised food activity. Wash hands before and after handling produce. Use only clean, teacher-approved samples and containers. Teachers control knives, heat, electrical equipment, chemicals and any processing machinery."
FF-006,Nursery,Alphabet Garden,Measurement & Yield,"Help children connect the Alphabet Garden to the idea of measurement & yield through safe observation, matching, sorting, drawing and talk.","Picture cards, clean produce examples where approved, baskets/trays, crayons, labels, handwashing supplies.","Use locally available baskets, clean reused food-grade containers, handmade labels, paper process cards and simple balances/measuring vessels where suitable.","1. Show a garden or food example. 2. Name where it comes from. 3. Let children match, count, sort or draw. 4. Demonstrate clean hands and gentle handling. 5. Ask children to tell one step from garden to food.","Correct match, simple count/sort, drawing or oral explanation.",Can the learner show what happens before and after the selected step?,"No tasting unless the school has separately approved a supervised food activity. Wash hands before and after handling produce. Use only clean, teacher-approved samples and containers. Teachers control knives, heat, electrical equipment, chemicals and any processing machinery."
FF-007,Nursery,Alphabet Garden,Storage & Loss,"Help children connect the Alphabet Garden to the idea of storage & loss through safe observation, matching, sorting, drawing and talk.","Picture cards, clean produce examples where approved, baskets/trays, crayons, labels, handwashing supplies.","Use locally available baskets, clean reused food-grade containers, handmade labels, paper process cards and simple balances/measuring vessels where suitable.","1. Show a garden or food example. 2. Name where it comes from. 3. Let children match, count, sort or draw. 4. Demonstrate clean hands and gentle handling. 5. Ask children to tell one step from garden to food.","Correct match, simple count/sort, drawing or oral explanation.",Can the learner show what happens before and after the selected step?,"No tasting unless the school has separately approved a supervised food activity. Wash hands before and after handling produce. Use only clean, teacher-approved samples and containers. Teachers control knives, heat, electrical equipment, chemicals and any processing machinery."
FF-008,Nursery,Alphabet Garden,Preparation Pathway,"Help children connect the Alphabet Garden to the idea of preparation pathway through safe observation, matching, sorting, drawing and talk.","Picture cards, clean produce examples where approved, baskets/trays, crayons, labels, handwashing supplies.","Use locally available baskets, clean reused food-grade containers, handmade labels, paper process cards and simple balances/measuring vessels where suitable.","1. Show a garden or food example. 2. Name where it comes from. 3. Let children match, count, sort or draw. 4. Demonstrate clean hands and gentle handling. 5. Ask children to tell one step from garden to food.","Correct match, simple count/sort, drawing or oral explanation.",Can the learner show what happens before and after the selected step?,"No tasting unless the school has separately approved a supervised food activity. Wash hands before and after handling produce. Use only clean, teacher-approved samples and containers. Teachers control knives, heat, electrical equipment, chemicals and any processing machinery."
FF-009,Nursery,Alphabet Garden,Food Choice & Literacy,"Help children connect the Alphabet Garden to the idea of food choice & literacy through safe observation, matching, sorting, drawing and talk.","Picture cards, clean produce examples where approved, baskets/trays, crayons, labels, handwashing supplies.","Use locally available baskets, clean reused food-grade containers, handmade labels, paper process cards and simple balances/measuring vessels where suitable.","1. Show a garden or food example. 2. Name where it comes from. 3. Let children match, count, sort or draw. 4. Demonstrate clean hands and gentle handling. 5. Ask children to tell one step from garden to food.","Correct match, simple count/sort, drawing or oral explanation.",Can the learner show what happens before and after the selected step?,"No tasting unless the school has separately approved a supervised food activity. Wash hands before and after handling produce. Use only clean, teacher-approved samples and containers. Teachers control knives, heat, electrical equipment, chemicals and any processing machinery."
FF-010,Nursery,Alphabet Garden,Waste-to-Resource,"Help children connect the Alphabet Garden to the idea of waste-to-resource through safe observation, matching, sorting, drawing and talk.","Picture cards, clean produce examples where approved, baskets/trays, crayons, labels, handwashing supplies.","Use locally available baskets, clean reused food-grade containers, handmade labels, paper process cards and simple balances/measuring vessels where suitable.","1. Show a garden or food example. 2. Name where it comes from. 3. Let children match, count, sort or draw. 4. Demonstrate clean hands and gentle handling. 5. Ask children to tell one step from garden to food.","Correct match, simple count/sort, drawing or oral explanation.",Can the learner show what happens before and after the selected step?,"No tasting unless the school has separately approved a supervised food activity. Wash hands before and after handling produce. Use only clean, teacher-approved samples and containers. Teachers control knives, heat, electrical equipment, chemicals and any processing machinery."
